Message Type,Transmission Type,Session ID,AircraftID,HexIdnet,FlightID,Date MSG Generated,Time MSG Generated,Time MSG Received,Time MSG Received,a,b,c,d,Latitude,Longitude,e,f,g,h,i,j,,,,,,
MSG,7,1,1,7C089A,1,10/1/2018,33:58.2,10/1/2018,33:58.2,,24275,,,,,,,,,,,,,,,,
MSG,3,1,1,7C5C50,1,10/1/2018,33:58.2,10/1/2018,33:58.2,,2325,,,-33.51258,151.25192,,,0,,0,,,,,,,
MSG,6,1,1,7C5C50,1,10/1/2018,33:58.2,10/1/2018,33:58.2,,,,,,,,1200,0,0,0,,,,,,,
MSG,4,1,1,7C6D9D,1,10/1/2018,33:58.2,10/1/2018,33:58.2,,,436,19,,,1920,,,,,0,,,,,,
MSG,8,1,1,7C6C2B,1,10/1/2018,33:58.2,10/1/2018,33:58.2,,,,,,,,,,,,0,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:58.2,10/1/2018,33:58.3,,10675,,,,,,,,,,,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:58.2,10/1/2018,33:58.3,,,379,18,,,2624,,,,,0,,,,,,
MSG,7,1,1,7C089A,1,10/1/2018,33:58.2,10/1/2018,33:58.3,,24275,,,,,,,,,,,,,,,,
MSG,7,1,1,7C089A,1,10/1/2018,33:58.2,10/1/2018,33:58.3,,24275,,,,,,,,,,,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:58.3,10/1/2018,33:58.3,,10675,,,,,,,,,,,,,,,,
MSG,3,1,1,7C6C2B,1,10/1/2018,33:58.3,10/1/2018,33:58.4,,10675,,,-33.61166,151.49524,,,0,,0,0,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:58.5,10/1/2018,33:58.5,,25375,,,-32.98128,151.72125,,,0,,0,0,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:58.5,10/1/2018,33:58.5,,24300,,,,,,,0,,0,,,,,,,
MSG,6,1,1,7C6C2B,1,10/1/2018,33:58.6,10/1/2018,33:58.6,,,,,,,,1416,0,0,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:58.7,10/1/2018,33:58.7,,25375,,,,,1792,,0,,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:58.7,10/1/2018,33:58.7,,25375,,,,,,,0,,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:58.7,10/1/2018,33:58.7,,,436,19,,,,1305,0,0,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:58.7,10/1/2018,33:58.8,,,,,,,,1305,0,0,0,,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:58.7,10/1/2018,33:58.8,,,379,18,,,2624,,,,,0,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:58.8,10/1/2018,33:58.9,,24300,,,,,2208,,0,,0,,,,,,,
MSG,8,1,1,7C6D9D,1,10/1/2018,33:58.8,10/1/2018,33:58.9,,,,,,,,,,,,0,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:58.8,10/1/2018,33:58.9,,,,,,,,1333,0,0,0,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:58.8,10/1/2018,33:58.9,,,440,15,,,,1333,0,0,0,,,,,,,
MSG,3,1,1,7C6C2B,1,10/1/2018,33:58.8,10/1/2018,33:58.9,,10700,,,-33.61093,151.49552,,,0,,0,0,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:58.9,10/1/2018,33:58.9,,,,,,,,1333,0,0,0,,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:58.9,10/1/2018,33:58.9,,25375,,,-32.98054,151.72158,,,0,,0,0,,,,,,
MSG,5,1,1,7C6C2B,1,10/1/2018,33:58.9,10/1/2018,33:59.0,,10700,,,,,2464,,0,,0,,,,,,,
